Sector	X	Y	BufoCalamita	TOT.N	S.RICH	OPEN.L	OLIVE	MONT.S	MONT	POLIC	SHRUB	URBAN	WAT.RES	L.WAT.C	L.D.ROAD	L.P.ROAD	D.WAT.RES	D.WAT.COUR	D.PARK	N.PATCH	P.EDGE	L.SDI
1	260181	256546	5	22	3	22.684	60.333	0.000	0.653	4.811	0.406	7.787	0.043	0.583	3330.189	1.975	252.113	735	250.214	122.000	553.936	1.801
2	259914	256124	1	14	4	24.657	40.832	0.000	0.161	2.224	0.735	27.150	0.182	1.419	2587.498	1.761	139.573	134.052	741.179	96.000	457.142	1.886
3	259672	255688	40	65	6	30.121	23.710	0.258	10.918	1.946	0.474	28.086	0.453	2.005	2149.651	1.250	59.168	269.029	1240.08	67.000	432.360	1.930
4	259454	255238	27	55	5	50.277	14.940	1.783	26.454	0.625	0.607	0.831	0.026	1.924	4222.983	0.666	277.842	48.751	1739.885	63.000	421.292	1.865
5	259307	254763	67	88	4	43.609	35.353	2.431	11.330	0.791	0.173	2.452	0.000	2.167	2219.302	0.653	967.808	126.102	2232.13	59.000	407.573	1.818
6	259189	254277	56	104	7	31.385	17.666	0.000	43.678	0.054	0.325	2.730	0.039	2.391	1005.629	1.309	560	344.444	2724.089	49.000	420.289	1.799
7	259092	253786	27	49	7	24.810	9.786	0.000	60.660	0.022	0.055	1.001	0.114	1.165	3735.189	0.685	93.147	95.133	3215.511	35.000	298.617	1.593
8	258993	253296	37	66	7	56.228	1.619	0.000	25.280	11.263	0.092	0.083	0.224	2.428	4891.466	0.677	88.971	243.23	3709.401	55.000	442.750	1.627
9	258880	252809	8	26	7	48.735	0.603	1.108	41.722	1.238	1.744	0.185	0.177	2.416	4010.961	0.664	684.887	187.084	4206.477	52.000	431.084	1.801
10	258767	252322	16	47	6	15.633	0.000	0.000	82.069	0.119	0.000	0.361	0.000	0.211	2885.246	0.654	794	236.004	4704.176	26.000	220.231	1.440
11	258653	251835	11	35	6	9.999	0.457	0.000	79.271	0.024	0.670	1.319	6.309	0.292	2261.299	0.696	1038	15.184	5202.328	24.000	240.203	1.581
12	258540	251348	15	55	8	39.942	2.223	0.000	52.042	0.000	0.783	0.263	2.260	0.650	3069.604	0.678	555.102	118.865	5700.669	25.000	276.623	1.685
13	258426	250861	13	44	6	10.382	0.745	0.000	86.015	0.038	0.000	0.000	0.137	1.896	631.439	0.652	418.35	332.257	6199.342	17.000	174.233	1.497
14	258313	250374	3	30	6	2.507	0.000	0.000	94.122	0.000	0.178	0.000	0.000	2.194	1033.708	0.665	664	28.498	6698.151	21.000	181.651	1.323
15	258260	249879	6	33	5	0.738	4.474	0.000	91.583	0.000	0.000	0.271	0.000	1.375	2380.865	0.655	744	168.818	7187.762	20.000	232.817	1.290
16	258262	249379	4	29	6	15.725	0.000	0.000	82.297	0.000	0.000	0.154	0.402	0.000	2046.446	0.627	386.829	560	7668.833	17.000	206.303	1.291
17	258264	248880	5	34	8	43.866	1.895	0.000	48.031	0.060	0.094	2.246	0.077	1.655	2256.397	1.159	206.088	104.839	8152.155	35.000	375.754	1.633
18	258282	248380	9	64	7	45.102	0.000	0.000	43.025	0.125	0.107	7.156	0.042	1.702	1224.954	2.201	628.711	204.943	8633.224	36.000	315.442	1.657
19	258350	247885	8	76	7	39.460	0.462	5.235	45.817	1.700	0.702	1.003	0.000	2.721	1272.977	2.290	668	256.812	9101.411	36.000	383.130	1.939
20	258417	247389	7	32	5	19.988	0.000	3.658	71.398	0.000	0.827	0.000	0.479	1.694	1059.200	1.617	325.07	566.152	9573.578	30.000	295.962	1.731
21	258486	246894	9	34	5	13.369	0.000	5.049	77.084	0.308	1.025	0.034	0.360	1.192	1890.384	0.866	461.126	689.823	10047.63	25.000	248.922	1.776
22	258556	246399	7	32	5	6.848	0.000	0.224	89.905	0.364	0.000	0.290	0.000	0.589	3063.770	0.640	820	694	10523.939	19.000	235.410	1.339
23	258625	245904	5	35	7	2.946	0.000	9.426	85.696	0.013	0.010	0.050	0.078	0.476	1927.284	0.620	895.436	300	11002.496	20.000	243.895	1.462
24	258694	245409	5	22	5	3.219	0.000	0.000	95.078	0.000	0.012	0.000	0.000	0.345	1737.728	0.645	905	132.934	11482.896	16.000	172.172	1.211
